boatid,name,zulu,lat,lon,cog,sog,windspd
108116,Mezentius,2020-05-14 15-19-53,69.9339697946011,-56.5547787944816,341.328,0.5758128,1.5919416
148846,My boat,2020-05-14 15-19-53,37.4295855389481,7.51925805116779,158.059,1.6275168,31.2490224
148866,My boat,2020-05-14 15-19-53,56.8465124313046,-10.1587041470337,6.6721,4.5444888,12.4184664
148233,Surprise,2020-05-14 15-19-53,30.0859238667687,-63.8965275130998,142.842,12.8710296,16.7895504
108116,Mezentius,2020-05-14 15-35-38,69.9370305524725,-56.5577825626941,341.581,0.5709528,1.5771672
148846,My boat,2020-05-14 15-35-38,37.4274020999444,7.52423267718083,68.3833,7.30722384,31.6879776
148866,My boat,2020-05-14 15-35-38,56.865714629552,-10.1636744512907,-88.1835,3.6746848799999996,12.89293848
148233,Surprise,2020-05-14 15-35-38,30.0446555425862,-63.8447478814328,133.06,14.21493624,17.10443952
108116,Mezentius,2020-05-14 15-45-49,69.9385474569643,-56.5592551228593,341.707,0.5684256,1.56978
148846,My boat,2020-05-14 15-45-49,37.4392423620265,7.56185858823305,69.9685,5.6416824,30.1526064
148866,My boat,2020-05-14 15-45-49,56.8660492553201,-10.1829776348305,264.393,3.943404,12.4880616
148233,Surprise,2020-05-14 15-45-49,30.0211762847649,-63.8157222466406,142.044,12.915547199999999,16.208488799999998
